Consolidated Compliance Report;
Corrective Action Plan;
Cost Sharing Or Matching;
Cross-cutting Audit Findings;
Direct Reporting Information on Grant Recipient Fraud, Waste, or Abuse;
Estimated Costs Information for Additional Audit;
Estimated Costs for Audit Federal Program as Major Program;
Financial Issues and Concerns, Recipient Response;
Financial Report;
Improvement Plan Status;
Improvement Plan;
Include unrecovered indirect (F&A) costs in cost sharing;
Limited Denial of Participation;
Management Decision Letter (MDL) Agency Input;
Management Decision Letter (MDL) Appeal Information;
Management Decision Letter (MDL) for review;
Merit;
Modify Key Persons on Application;
Need for Additional Audit;
Non Covered Nonprocurement Transactions;
Non-Compliance;
Other;
Program Compliance With Authorizing Legislation;
Program Internal Controls Compliance;
Program Performance and Financial Results;
Project Budget;
Project Issues and Concerns Requiring Follow Up, Recipient Response;
Project Performance Report;
Proposed Course of Action for Reported Grant Recipient Fraud, Waste, or Abuse;
Reassign Audit Finding to Another Appropriate Party;
Reassign Grant Recipient Cognizant Agency for Audit;
Reassign Grant Recipient Oversight Agency;
Request for Program Specific Audit;
Request to reassign Key Management Single Audit Liaison;
Response to Audit Federal Program as Major Program;
Revised Timeline for Past Due Corrective Action(s) for Finding(s);
Risk Assessment;
Special or unusual costs approval;
Status Information of Grant Recipient Corrective Action(s) for Audit Finding(s);
Summary Statement;
Suspension or Termination, Recipient Response;
Updated Audit Package Information;"
,GRMEvaluationResultText,A description of the results for a specified type of review for an aspect of the grants management lifecycle.,"(1) 2 CFR 1326.137;
(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(5) 2 CFR 180.110;
(6) 2 CFR 180.135;
(7) 2 CFR 180.155;
(8) 2 CFR 180.300-530;
(9) 2 CFR 180.315;
(10) 2 CFR 180.420;
(11) 2 CFR 180.425;
(12) 2 CFR 180.430;
(17) 2 CFR 200.18;
(18) 2 CFR 200.201;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(27) 2 CFR 200.210;
(32) 2 CFR 200.301;
(33) 2 CFR 200.302;
(39) 2 CFR 200.308;
(41) 2 CFR 200.311;
(42) 2 CFR 200.312;
(43) 2 CFR 200.313;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(62) 2 CFR 200.338;
(66) 2 CFR 200.341;
(68) 2 CFR 200.343;
(73) 2 CFR 200.407;
(94) 2 CFR 200.49;
(95) 2 CFR 200.50;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(103) 2 CFR 200.517;
(104) 2 CFR 200.521;
(112) 2 CFR 200.73;
(121) 2 CFR 2424.1110;
(122) 2 CFR 2424.1140;
(123) 2 CFR 2424.137;
(129) 2 CFR 2520.137;
(130) 2 CFR 376.137;
(134) 2 CFR Appendix I to Part 200;
(143) 2 CFR Part 180;
(159) Federal Financial Accounting Technical Release 12, Accrual Estimates for Grant Programs;
(198) USASpending.gov;
(225) RPPR;
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(38) 2 CFR 200.306;
(79) 2 CFR 200.414;
(136) 2 CFR Appendices III to Part 200;
(137) 2 CFR Appendices IV to Part 200;
(138) 2 CFR Appendices V to Part 200;
(139) 2 CFR Appendices VI to Part 200;
(140) 2 CFR Appendices VII to Part 200;
(141) 2 CFR Appendices VIII to Part 200;
(142) 2 CFR Appendices IX to Part 200;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);",
,GrantAwardCertificationsAndRepresentationsReferenceText,"A description of, or reference to, the applicable set of certifications and representations that are relevant for the related program. The reference must be to the web site at which the Federal agency maintains the general terms and conditions. (27, augmented)","(20) 2 CFR 200.203;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(134) 2 CFR Appendix I to Part 200;",
,GrantAwardGeneralTermsAndConditionsReferenceText,"A description of, or reference to, the applicable set of terms and conditions that are relevant for the related program. The reference must be to the web site at which the Federal agency maintains the general terms and conditions. (27, augmented)","(20) 2 CFR 200.203;
(24) 2 CFR 200.207;
(27) 2 CFR 200.210;
(134) 2 CFR Appendix I to Part 200;",
,GrantAwardSpecificTermsAndConditionsText,A description of the terms and conditions necessary to communicate requirements that are in addition to the requirements outlined in the Federal agency’s general terms and conditions. (27) ,"(20) 2 CFR 200.203;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(134) 2 CFR Appendix I to Part 200;",
,GrantAwardResearchAndDevelopmentIndicator,An indicator that identifies whether an award is research and development related. (27),"(20) 2 CFR 200.203;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(98) 2 CFR 200.511;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(238) 2 CFR 200.507;
(254) 2 CFR Appendix XI - Compliance Supplement;
(259) 2 CFR 200, Appendix X;",
,GRMResponseTypeCode,A code denoting the type of response to a request for additional information or approvals throughout the grants management lifecycle.,"(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(62) 2 CFR 200.338;
(63) 2 CFR 200.339;
(68) 2 CFR 200.343;
(73) 2 CFR 200.407;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(102) 2 CFR 200.516;
(104) 2 CFR 200.521;
(188) 2 CFR 200.458;
(190) CDER;
(255) 2 CFR 200.503;","Adjustment to Negotiated Indirect (F&A) Cost Rates;
Approval to Incur Pre-Award Costs;
Audit Federal Program as Major Program;
Availability of Funds for Commitment for Approved Award Applicant;
Availability of Funds for Commitment for Funding Opportunity;
Extension of Negotiated Indirect (F&A) Cost Rates;
Financial issues and concerns;
Grant Recipient delay in providing additional audit information;
Management Decision - Additional Information;
Management Decision on Audit Findings;"
,GRMResponseText,A description of the response to a request for additional information or approvals throughout the grants management lifecycle.,"(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(62) 2 CFR 200.338;
(63) 2 CFR 200.339;
(68) 2 CFR 200.343;
(73) 2 CFR 200.407;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(102) 2 CFR 200.516;
(104) 2 CFR 200.521;
(188) 2 CFR 200.458;
(255) 2 CFR 200.503;",
020 Grant Pre-Award Management,,,,
,GRMLegalEntityTypeCode,A code denoting the role of the non-Federal legal entity such as an award applicant or grant/award recipient (221) that relates to the legal entity unique identifier.,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(57) 2 CFR 200.329;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200, Section C, D, & E;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(225) RPPR;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;","Applicant;
Application Reviewer;
Award Recipient Auditor;
Award Recipient;
Award Sub-Recipient;
Other;
Project Partner Organization;"
,GRMLegalEntityName,"A name of the applicant, grant/award recipient, or other non-Federal entity that relates to the non-Federal legal entity unique identifier as resolved per entity validation. For U.S. based companies, this name is what the business ordinarily files in formation documents with individual states (when required). (187)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(57) 2 CFR 200.329;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(225) RPPR;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityUniqueID,"A unique identification number for a non-Federal legal entity (221) involved in the grants management process assigned during the entity validation process. (27, 187, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS V2 D2;
(190) CDER;
(194) CDER 2 Intra-Agency Analysis;
(196) JFMIP Grant Financial System Requirements, 2000, Grants Overview Process;
(197) SF-LLL (Rev. 7-97) Disclosure of Lobbying Activities;
(198) USASpending.gov Data Dictionary;
(199) SF 424;
(208) SF-424D;
(210) SF-424B;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(225) RPPR;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityDepartmentName,"A name of the primary department, service, laboratory, or equivalent within the non-Federal legal entity which will undertake the grants management activity. This could include State Capital for State Grants. (190, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(225) RPPR;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityDivisionName,"A name of the primary organizational division, office, or major subdivision which will undertake the grants management activity. (190)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(190) CDER;
(199) SF-424;
(207) SF-424 R&R;
(221) SF-SAC;
(223) 2 CFR 200.510;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityAddressTypeCode,"A code denoting the address type of the non-Federal legal entity involved in the grant management activity as a place of performance, headquarters, etc.","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(190) CDER;
(199) SF-424;
(207) SF-424 R&R;
(221) SF-SAC;
(223) 2 CFR 200.510;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;","Headquarters;
Other;
Place of Performance;"
,GRMLegalEntityAddressLine1Text,A first line of the street address of the non-Federal legal entity's(221) legal business address. (187),"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS V2 D2;
(194) CDER 2 Intra-Agency Analysis;
(197) SF-LLL (Rev. 7-97) Disclosure of Lobbying Activities;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(225) RPPR;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityAddressLine2Text,A second line of the street address of the non-Federal legal entity's (221) legal business address. (187),"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS V2 D2;
(194) CDER 2 Intra-Agency Analysis;
(197) SF-LLL (Rev. 7-97) Disclosure of Lobbying Activities;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(225) RPPR;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityCityName,A city of the address for the non-Federal legal entity's (221) legal business address. (187),"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS V2 D2;
(194) CDER 2 Intra-Agency Analysis;
(197) SF-LLL (Rev. 7-97) Disclosure of Lobbying Activities;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(225) RPPR;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityCountyName,A county of the address of the non-Federal legal entity’s legal business address. (187),"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS V2 D2;
(194) CDER 2 Intra-Agency Analysis;
(197) SF-LLL (Rev. 7-97) Disclosure of Lobbying Activities;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(225) RPPR;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityStateOrProvinceCode,A code denoting a state or foreign province portion of postal address for non-Federal legal entity location. ,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS V2 D2;
(194) CDER 2 Intra-Agency Analysis;
(197) SF-LLL (Rev. 7-97) Disclosure of Lobbying Activities;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(225) RPPR;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityZipPostalCode,A zip code of the address of the non-Federal legal entity's (221) legal business address. (187),"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS V2 D2;
(194) CDER 2 Intra-Agency Analysis;
(197) SF-LLL (Rev. 7-97) Disclosure of Lobbying Activities;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(225) RPPR;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityCountryCode,"A code denoting a country where the non-Federal legal entity's business address is located, using the International Standard for country codes (ISO) 3166-1 Alpha-3 GENC Profile. (187, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS V2 D2;
(194) CDER 2 Intra-Agency Analysis;
(197) SF-LLL (Rev. 7-97) Disclosure of Lobbying Activities;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(225) RPPR;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);",
,GRMLegalEntityCongressionalDistrictName,A congressional district in which the non-Federal legal entity is located. (187),"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(177) SF-429 (9/2011) Real Property Status Report;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS V2 D2;
(194) CDER 2 Intra-Agency Analysis;
(197) SF-LLL (Rev. 7-97) Disclosure of Lobbying Activities;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(225) RPPR;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CFR 200.502;
